ICD-9,DiseaseName
0010, Cholera due to vibrio cholerae 
0011, Cholera due to vibrio cholerae el tor 
0019," Cholera, unspecified "
0020, Typhoid fever 
0021, Paratyphoid fever A 
0022, Paratyphoid fever B 
0023, Paratyphoid fever C 
0029," Paratyphoid fever, unspecified "
0030, Salmonella gastroenteritis 
0031, Salmonella septicemia 
00320," Localized salmonella infection, unspecified "
00321, Salmonella meningitis 
00322, Salmonella pneumonia 
00323, Salmonella arthritis 
00324, Salmonella osteomyelitis 
00329, Other localized salmonella infections 
0038, Other specified salmonella infections 
0039," Salmonella infection, unspecified "
0040, Shigella dysenteriae 
0041, Shigella flexneri 
0042, Shigella boydii 
0043, Shigella sonnei 
0048, Other specified shigella infections 
0049," Shigellosis, unspecified "
0050, Staphylococcal food poisoning 
0051, Botulism food poisoning 
0052, Food poisoning due to Clostridium perfringens (C. welchii) 
0053, Food poisoning due to other Clostridia 
0054, Food poisoning due to Vibrio parahaemolyticus 
00581, Food poisoning due to Vibrio vulnificus 
00589, Other bacterial food poisoning 
0059," Food poisoning, unspecified "
0060, Acute amebic dysentery without mention of abscess 
0061, Chronic intestinal amebiasis without mention of abscess 
0062, Amebic nondysenteric colitis 
0063, Amebic liver abscess 
0064, Amebic lung abscess 
0065, Amebic brain abscess 
0066, Amebic skin ulceration 
0068, Amebic infection of other sites 
0069," Amebiasis, unspecified "
0070, Balantidiasis 
0071, Giardiasis 
0072, Coccidiosis 
0073, Intestinal trichomoniasis 
0074, Cryptosporidiosis 
0075, Cyclosporiasis 
0078, Other specified protozoal intestinal diseases 
0079, Unspecified protozoal intestinal disease 
00800," Intestinal infection due to E. coli, unspecified "
00801, Intestinal infection due to enteropathogenic E. coli 
00802, Intestinal infection due to enterotoxigenic E. coli 
00803, Intestinal infection due to enteroinvasive E. coli 
00804, Intestinal infection due to enterohemorrhagic E. coli 
00809, Intestinal infection due to other intestinal E. coli infections 
0081, Intestinal infection due to arizona group of paracolon bacilli 
0082, Intestinal infection due to aerobacter aerogenes 
0083, Intestinal infection due to proteus (mirabilis) (morganii) 
00841, Intestinal infection due to staphylococcus 
00842, Intestinal infection due to pseudomonas 
00843, Intestinal infection due to campylobacter 
00844,Intestinal infection due to yersinia enterocolitica 
00845,Intestinal infection due to Clostridium difficile 
00846,Intestinal infection due to other anaerobes 
00847,Intestinal infection due to other gram-negative bacteria 
00849,Intestinal infection due to other organisms 
0085," Bacterial enteritis, unspecified "
00861,Enteritis due to rotavirus 
00862,Enteritis due to adenovirus 
00863,Enteritis due to norwalk virus 
00864,Enteritis due to other small round viruses [SRV's] 
00865,Enteritis due to calicivirus 
00866,Enteritis due to astrovirus 
00867,Enteritis due to enterovirus nec 
00869,Enteritis due to other viral enteritis 
0088," Intestinal infection due to other organism, not elsewhere classified "
0090," Infectious colitis, enteritis, and gastroenteritis "
0091," Colitis, enteritis, and gastroenteritis of presumed infectious origin "
0092, Infectious diarrhea 
0093, Diarrhea of presumed infectious origin 
01000,"Primary tuberculous infection, unspecified "
01001,"Primary tuberculous infection, bacteriological or histological examination not done "
01002,"Primary tuberculous infection, bacteriological or histological examination unknown (at present) "
01003,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy "
01004,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01005,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01006,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01010,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified "
01011,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done "
01012,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present) "
01013,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy "
